Name,Address,Latitudes,Longitudes,Opening hours,Phone Number,Price Range ($-$$$),Ethnicity ,Region,Closest TTC Stops,Website
Kostas Meat Market & Deli ,"259 Ellesmere Rd, Scarborough, ON M1R 4E4",43.76049518,-79.3016049,"Mon 8:00 am - 6:00 pm
Tues-Wed 8:00 am - 7:00 pm
Thurs-Fri 8:00 am - 8:00 pm
Sat 8:00 am - 6:00 pm
Sun 8:00 am - 4:00 pm",416-444-3036,$$$,Greek ,Scarborough,Ellesmere Subway Station ,www.kostasmeatmarket.com
Emporium Latino,"243 Augusta Ave, Toronto, ON M5T 2L8 ",43.65483949,-79.40197585,"M-F 9am-7pm, Sat 8am-7pm, Sun 10am-5pm",416-351-9646,,Latin American ,,Spadina Subway station,None
Galleria Supermarkets,"865 York Mills Rd, Toronto, ON M3B 1Y6",43.7537042,-79.34988587,M-Sun 10am-7pm,647-352-5004,,Korean ,North York ,York Mills Subway Station ,www.galleriasm.com
Galleria Supermarkets- Bloor Express,"351 Bloor St W, Toronto, ON M5S 1W7",43.66693858,-79.40111681,M-Sun 8am-7pm ,416-506-6177,,Korean ,Toronto & East York ,St. George Subway Station ,www.galleriasm.com
Galleria Supermarkets- Wellesley Express,"
558 Yonge St, Toronto, ON M4Y 1Y9",43.66463346,-79.38461073,M-Sun 8am-10pm,647-925-4200,,Korean ,Toronto & East York ,Wellesley Subway Station,www.galleriasm.com
Trupti ,"2 Thorncliffe Park Dr, Unit #40, Toronto, ON M4H 1H2",43.70717675,-79.35067815,"Mon - Sat: 10am - 6pm
Sunday: 11am - 5pm",416-421-0191,,Indian ,Toronto & East York ,Broadview Subway Station ,www.trupti.ca
Iqbal Halal Foods,"2 Thorncliffe Park Dr, Unit 5-16, Toronto, ON M4H 1H2",43.70575729,-79.35213815,Mon-Sun 7am-10pm ,416-467-0177 ,,South Asian/Middle Eastern ,Toronto & East York ,Broadview Subway Station ,www.iqbalfoods.ca
Mrakovic Deli,"44 Wellesworth Dr, Etobicoke, ON M9C 4R1 ·",43.66671643,-79.57866745,"Mon Closed, Tues-Fri 8am-8pm, Sat 8am-6pm, Sun 8am-5pm",416-695-7396,,Balkan,Etobicoke York,Kipling Subway Station ,www.mrakovic.com
Arz Fine Foods,"1909 Lawrence Ave E, Scarborough, ON M1R 2Y6 ",43.74385605,-79.30085066,"M-F 8:30am-9pm, Sat-Sun 8am-9pm",416-755-5084,,Middle Eastern/Mediterranean,Scarborough,Lawrence East RT Station ,www.arzfinefoods.com
Aunt Elsie's Caribbean Kitchen,"2689 Eglinton Ave E, Scarborough, ON M1K 2S2",43.73588008,-79.24983309,M-Sat 9am-9pm,416-261-0250,,Caribbean,Scarborough,Kennedy Subway Station,None
Eddystone Meats,"245 Eddystone Ave, North York, ON M3N 1H8",43.74757964,-79.52146905,"Monday – Friday 8:00am – 7:00pm
Saturday 8:00am – 6:00pm
Sunday Closed",416-743-5601,,Italian ,North York ,Finch West Subway Station ,www.eddystonemeats.com
Eraa Supermarket/Bakery/Fish&Meat/Video,"5930 Finch Ave E, Scarborough, ON M1B 5P8",43.81779198,-79.22361016,Mon-Sun: 8:00am – 10pm,416-292-2622,$,Tamil,Scarborough,"Scaborough Town Centre Station
*30min bus ride away",www.eraa.ca
Eraa Supermarket/Fish&Meat/Video,"2607 Eglinton Ave E, Scarborough, ON M1K 2S2",43.73527365,-79.2528428,Mon-Sun: 8:00am – 10pm,416-292-2622,$,Tamil,Scarborough,"Kennedy Subway Station 
*14min walk",www.eraa.ca
